We get to the point with an error
BCEZYFDaHIJKM	B	 M	true	 Min:12
BCEZYFDaHIJKMLNbOQRPQRST	a	 T	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRST	H	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRST	G	 T	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRST	I	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRST	J	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRST	K	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRST	Ã	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRST	§	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRST	M	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRST	L	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRST	Â	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRST	¸	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRST	.	 T	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRST	/	 T	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRST	N	 T	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRST	b	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRST	O	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRST	P	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRST	Q	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRST	R	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRST	c	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRST	S	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRST	T	 T	false	 Min:16
BCEZYFDaHIJKMLNbOQRPQRST	U	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRST	V	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRST	Â	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRST	ª	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRST	W	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRST	X	 T	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTU	B	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTU	C	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTU	Z	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTU	D	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTU	E	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTU	"	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTU	!	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTU	Y	 U	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTU	F	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTU	a	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTU	H	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTU	G	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTU	I	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTU	J	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTU	K	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTU	Ã	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTU	§	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTU	M	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTU	L	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTU	Â	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTU	¸	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTU	.	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTU	/	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTU	N	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTU	b	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTU	O	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTU	P	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTU	Q	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTU	R	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTU	c	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTU	S	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTU	T	 U	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTU	U	 U	false	 Min:16
BCEZYFDaHIJKMLNbOQRPQRSTU	V	 U	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTU	Â	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTU	ª	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTU	W	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTU	X	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUV	B	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUV	C	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUV	Z	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUV	D	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUV	E	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUV	"	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUV	!	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUV	Y	 V	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUV	F	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUV	a	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUV	H	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUV	G	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUV	I	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUV	J	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUV	K	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUV	Ã	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUV	§	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUV	M	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUV	L	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUV	Â	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUV	¸	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUV	.	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUV	/	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUV	N	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUV	b	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUV	O	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUV	P	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUV	Q	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUV	R	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUV	c	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUV	S	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUV	T	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUV	U	 V	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTUV	V	 V	false	 Min:16
BCEZYFDaHIJKMLNbOQRPQRSTUV	Â	 V	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTUV	ª	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUV	W	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUV	X	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUVW	B	 W	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVW	C	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVW	Z	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVW	D	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUVW	E	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVW	"	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVW	!	 W	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVW	Y	 W	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUVW	F	 W	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVW	a	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVW	H	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVW	G	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVW	I	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVW	J	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUVW	K	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUVW	Ã	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUVW	§	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVW	M	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUVW	L	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUVW	Â	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUVW	¸	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVW	.	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVW	/	 W	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVW	N	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVW	b	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVW	O	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUVW	P	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUVW	Q	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUVW	R	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUVW	c	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUVW	S	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUVW	T	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUVW	U	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUVW	V	 W	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTUVW	Â	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUVW	ª	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUVW	W	 W	false	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUVW	X	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	B	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	C	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	Z	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	D	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	E	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	"	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	!	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	Y	 X	true	 Min:28
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	F	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	a	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	H	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	G	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	I	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	J	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	K	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	Ã	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	§	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	M	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	L	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	Â	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	¸	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	.	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	/	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	N	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	b	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	O	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	P	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	Q	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	R	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	c	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	S	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	T	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	U	 X	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	V	 X	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	Â	 X	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	ª	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	W	 X	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUVWX	X	 X	false	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUW	B	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUW	C	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUW	Z	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUW	D	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUW	E	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUW	"	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUW	!	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUW	Y	 W	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUW	F	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUW	a	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUW	H	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUW	G	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUW	I	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUW	J	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUW	K	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUW	Ã	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUW	§	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUW	M	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUW	L	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUW	Â	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUW	¸	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUW	.	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUW	/	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUW	N	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUW	b	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUW	O	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUW	P	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUW	Q	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUW	R	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUW	c	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUW	S	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUW	T	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUW	U	 W	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTUW	V	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUW	Â	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUW	ª	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUW	W	 W	false	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUW	X	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUWV	B	 V	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWV	C	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWV	Z	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWV	D	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUWV	E	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWV	"	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWV	!	 V	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWV	Y	 V	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUWV	F	 V	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWV	a	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWV	H	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWV	G	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWV	I	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWV	J	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUWV	K	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUWV	Ã	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUWV	§	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWV	M	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUWV	L	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUWV	Â	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUWV	¸	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWV	.	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWV	/	 V	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWV	N	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWV	b	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWV	O	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUWV	P	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUWV	Q	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUWV	R	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUWV	c	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUWV	S	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUWV	T	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUWV	U	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUWV	V	 V	false	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTUWV	Â	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUWV	ª	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUWV	W	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUWV	X	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	B	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	C	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	Z	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	D	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	E	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	"	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	!	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	Y	 X	true	 Min:28
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	F	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	a	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	H	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	G	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	I	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	J	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	K	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	Ã	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	§	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	M	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	L	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	Â	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	¸	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	.	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	/	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	N	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	b	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	O	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	P	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	Q	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	R	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	c	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	S	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	T	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	U	 X	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	V	 X	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	Â	 X	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	ª	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	W	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTUWVX	X	 X	false	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTW	B	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTW	C	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTW	Z	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTW	D	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTW	E	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTW	"	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTW	!	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTW	Y	 W	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTW	F	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTW	a	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTW	H	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTW	G	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTW	I	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTW	J	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTW	K	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTW	Ã	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTW	§	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTW	M	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTW	L	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTW	Â	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTW	¸	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTW	.	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTW	/	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTW	N	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTW	b	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTW	O	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTW	P	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTW	Q	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTW	R	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTW	c	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTW	S	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTW	T	 W	true	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTW	U	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTW	V	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTW	Â	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTW	ª	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTW	W	 W	false	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTW	X	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWU	B	 U	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWU	C	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWU	Z	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWU	D	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWU	E	 U	true	 Min:23
